Industry_Energy,Industry_Finance,Industry_Government,Industry_Healthcare,Industry_Manufacturing,Industry_Media,Industry_Retail,Industry_Technology,Industry_Transportation,Country_Canada,Country_Germany,Country_India,Country_Japan,Country_Pakistan,Country_Singapore,Country_UAE,Country_UK,Country_USA,Remote_Work_Possibility_No,Remote_Work_Possibility_Yes,Company_Size_Medium,Company_Size_Startup,Education_Level,Automation_Level,AI_Tool_Usage,Hiring_Trend_2026,Years_Experience,Average_Salary_USD,Job_Growth_2030,Work_Hours_Per_Week,Performance_Score,Job_Satisfaction,Upskilling_Needed,Is_Machine_Learning,Is_Analyst
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,3,0,2,2,1,207392,3,37,2.08,3.86,True,0,0
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,1,0,1,2,24,140785,-5,42,4.54,4.23,False,0,1
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,0,1,0,1,21,124800,-5,57,3.14,3.54,False,0,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,1,1,2,0,5,199878,7,59,3.67,4.37,False,0,1
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,3,0,2,1,20,178682,6,34,3.68,3.99,False,0,1
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0,2,2,0,12,70066,19,46,4.58,3.72,True,1,0
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,0,2,0,2,20,218659,22,49,3.12,3.16,True,0,0
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0,2,110612,42,32,2.39,4.79,False,0,0
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,3,0,1,0,16,216895,5,37,2.06,3.35,True,0,0
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3,0,2,0,6,48574,36,59,3.42,4.23,False,0,0
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,0,1,0,25,44200,2,36,2.42,2.11,True,0,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,3,0,0,1,15,33868,45,42,3.14,2.06,False,0,1
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,0,2,0,0,18,172133,44,46,4.88,4.41,True,0,0
False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,2,1,1,13,181760,26,46,2.61,1.95,False,0,0
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,0,2,0,1,17,150136,6,34,4.64,2.14,False,0,0
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,1,2,0,1,8,99328,3,52,4.06,3.02,False,0,0
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,3,0,0,0,17,64293,-6,60,3.64,3.33,False,0,0
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3,0,0,1,19,95412,5,57,4.64,1.72,True,0,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,2,0,1,1,9,153388,-9,51,2.98,4.87,True,0,0
